"position_x","position_y","time_of_infected","k3","kt3","k5","kt5","k8","kt8","k10","kt10"
-0.587183939930814,9.15529012464432,1,2,3,1,5,5,4,4,5
0.0247801369754637,10.918886832354,1,2,3,1,5,5,4,4,5
1.0072143634837,11.9060721320407,2,2,3,1,5,5,4,4,5
0.602719695044612,9.73190972553572,1,2,3,1,5,5,4,4,5
1.90812325894132,7.95213994428999,3,2,3,1,2,5,5,4,5
0.964334979864663,8.60545303661132,0,2,3,1,5,5,4,4,5
0.972210259267783,10.8021398283981,2,2,3,1,5,5,4,4,5
0.982877819602222,7.68707545728679,2,2,3,1,5,5,4,4,5
-0.839047742930618,10.5635563998647,2,2,3,1,5,5,4,4,5
-3.83816370861409,11.1081814891454,2,2,3,1,5,5,4,4,5
2.62437793413704,7.35445597300983,3,2,3,1,2,5,5,4,5
-2.53872816498479,10.2172691248075,7,2,3,1,5,5,4,4,5
-1.70654720178071,14.2955916546033,3,2,3,1,5,5,4,4,5
-4.69155023052552,30.8832030525289,-1,2,3,2,5,7,4,1,5
2.60223659318268,23.9173555157396,6,2,3,2,2,7,5,6,10
-0.872607243767177,29.146369845784,4,2,3,2,5,7,4,1,5
-4.45061108340391,29.5314774241878,5,2,3,2,5,7,4,1,5
4.38221647455415,27.7003901285512,4,2,3,2,2,7,5,6,10
1.7263915240201,28.7543649900878,2,2,3,2,2,7,5,1,5
3.51656958538053,25.4368258476081,6,2,3,2,2,7,5,6,10
6.05805143006476,23.4993688374253,7,2,3,2,3,7,1,6,10
6.93788627010996,22.8128128147512,6,2,3,2,3,7,1,6,10
6.26685387739819,23.9083699836051,7,2,3,2,3,7,1,6,10
0.517302710842916,27.4565326032162,4,2,3,2,5,7,4,1,5
4.93927406682166,22.8778473688265,8,2,3,2,2,7,1,6,10
2.04993880731441,29.5039703129404,3,2,3,2,2,7,5,1,5
33.9899494379225,31.5427011063671,-1,3,2,4,1,1,6,10,8
23.899175291248,22.4108003895955,4,3,2,4,1,1,7,5,6
28.5815246093962,26.995470919018,9,3,2,4,1,1,6,3,7
23.0796720882486,24.5327430089867,7,3,2,4,1,1,7,3,2
31.0322227322749,29.8235557075581,-1,3,2,4,1,1,6,10,8
22.9510599201277,19.9307606899574,7,3,2,4,1,1,7,5,2
28.0827719470926,19.657551829481,9,3,2,4,1,1,6,3,7
28.5313369351453,20.7488427226325,7,3,2,4,1,1,6,3,7
27.306166205534,27.4062998544421,7,3,2,4,1,1,6,3,7
26.3299114294524,18.9273572094413,8,3,2,4,1,1,6,5,7
25.8574615471648,22.9052291289168,5,3,2,4,1,1,6,3,6
24.9219519196633,20.9673662316153,9,3,2,4,1,1,6,5,6
22.9954167327631,22.3630109626666,6,3,2,4,1,1,7,5,2
20.183985679105,8.09698705943347,6,1,2,5,1,8,7,7,2
22.5301539612279,7.333762763861,8,1,2,5,1,8,7,7,2
22.3563805354881,6.94514967867824,8,1,2,5,1,8,7,7,2
25.1836724525729,1.70245427846446,4,1,2,5,1,8,6,8,6
27.7935008682152,5.56079612838243,8,1,2,5,1,8,6,8,7
26.3044013789805,3.93643770125189,7,1,2,5,1,8,6,8,7
26.9872409874873,8.10109199089021,9,1,2,5,1,8,6,8,7
21.7822252473952,7.61656333103033,7,1,2,5,1,8,7,7,2
21.201407522735,2.85866534762151,11,1,2,5,1,8,7,7,2
26.6781684785981,6.4547101937007,8,1,2,5,1,8,6,8,7
28.1853422166322,7.91479435305734,7,1,2,5,1,8,6,8,7
27.0357284889155,3.14381110115032,8,1,2,5,1,8,6,8,7
28.665097500699,7.1250687610222,7,1,2,5,1,8,6,8,7
21.6183145252534,22.5773533314957,7,3,2,4,1,1,7,5,2
26.276648511861,24.3120449337129,8,3,2,4,1,1,6,3,7
20.4695929509656,18.7456878303623,7,3,2,4,1,4,7,5,2
20.6879452008533,17.1442183265712,9,3,2,4,1,4,7,5,2
19.9170627369102,24.2791775718699,6,3,2,4,1,1,7,5,2
25.4508568040502,27.1573582910159,7,3,2,4,1,1,6,3,6
21.5570354622281,15.4073405718637,9,3,2,5,1,4,7,5,2
18.8551936722416,26.2406809211769,7,3,1,3,4,2,2,2,4
14.4642908164326,22.3173460232953,6,3,1,3,4,2,2,2,3
19.8507749163818,18.9636497811213,7,3,2,4,1,4,7,5,2
22.5734395197465,23.2738490889703,6,3,2,4,1,1,7,5,2
13.4883175006336,18.7540833259405,8,2,1,3,4,4,8,9,1
11.7175075677622,29.2568205342325,9,2,1,3,4,2,8,2,1
12.9839035161499,29.228202601125,10,3,1,3,4,2,8,2,1
11.5414636090679,25.1525953469728,8,2,1,3,4,2,8,2,1
18.0394644887482,24.5792525848467,5,3,1,3,4,2,2,2,4
12.3811242663804,23.0728136731779,9,2,1,3,4,2,8,2,1
7.18126380237336,25.3967409650321,5,2,3,2,3,7,1,6,10
11.6229151604742,21.4504656141,5,2,1,3,4,2,8,2,1
11.5618091622482,26.7981877538451,5,2,1,3,4,2,8,2,1
7.52963002206997,27.2013546555253,4,2,3,2,3,7,1,6,10
7.32252010912698,26.6438448173435,5,2,3,2,3,7,1,6,10
11.5724391189755,27.7011356224054,7,2,1,3,4,2,8,2,1
14.5541894994379,25.5299981423669,9,3,1,3,4,2,2,2,3
8.5026550165241,1.72389283028796,-1,1,3,1,3,3,3,4,9
4.16521091101793,-1.11774860218652,-1,1,3,1,2,3,3,4,9
8.18303054635783,6.45692636862338,4,1,3,1,3,3,1,4,10
6.79960986680572,7.04795044562561,3,1,3,1,3,3,1,4,10
7.72587952391515,11.8478740285002,-1,2,3,1,3,6,3,4,9
3.73455124978013,2.13434026096757,5,1,3,1,2,3,5,4,10
6.69961974443268,8.30759361991338,3,1,3,1,3,3,1,4,10
11.1092556460599,-0.512058129304575,6,1,1,1,4,3,8,4,1
7.49506811913695,2.05298718368649,4,1,3,1,3,3,1,4,10
9.01712940245644,5.610009323869,5,1,1,1,3,3,1,4,10
5.90750248861241,8.07901478321195,2,1,3,1,3,3,3,4,9
10.5706873200949,6.7800655367405,5,1,1,1,3,3,8,4,1
16.4109107964528,14.1146175381115,6,1,1,5,4,4,2,9,3
13.7931957629839,8.60526453400549,4,1,1,5,4,6,8,9,3
22.66814951138,17.1515285815235,6,3,2,4,1,4,7,5,2
17.9663397922883,13.7752415373277,6,1,1,5,4,4,2,9,4
17.2244301049319,10.7632416683944,10,1,1,5,4,6,2,9,4
15.9016555699932,11.2158017239043,6,1,1,5,4,6,2,9,3
15.3707816847302,11.7907044091963,4,1,1,5,4,6,2,9,3
12.0740086105136,10.9194284577302,8,1,1,1,4,6,8,9,1
18.189001509998,16.1538816348081,9,3,1,5,4,4,2,9,4
18.4829939989428,15.2101837107369,7,1,1,5,4,4,2,9,4
15.2975431101173,10.601719826512,6,1,1,5,4,6,2,9,3
16.3325550122025,15.3781587287442,8,1,1,5,4,4,2,9,4
